Validator,PT_VERSION,2.10.0
Validator,HIP_VERSION,701
Validator,HIPBLASLT_VERSION,100100-f6fa39dccf
Validator,GCN_ARCH_NAME,gfx1151
Validator,ROCBLAS_VERSION,5.1.0.f6fa39dccf
GemmTunableOp_BFloat16_TN,tn_8192_9216_8192_ld_8192_8192_8192,Gemm_Rocblas_-1162085588,56.8604
GemmTunableOp_BFloat16_TN,tn_8192_9216_7168_ld_7168_7168_8192,Default,41.3252
GemmTunableOp_BFloat16_TN,tn_8192_9216_6144_ld_6144_6144_8192,Gemm_Rocblas_-1162085592,41.4449
GemmTunableOp_BFloat16_TN,tn_8192_9216_1024_ld_1024_1024_8192,Gemm_Rocblas_-1162085569,5.39448
GemmTunableOp_BFloat16_TN,tn_7168_9216_13312_ld_13312_13312_7168,Gemm_Rocblas_-1162085575,71.426
GemmTunableOp_BFloat16_TN,tn_7168_9216_10240_ld_10240_10240_7168,Default,63.0679
GemmTunableOp_BFloat16_TN,tn_7168_9216_8192_ld_8192_8192_7168,Gemm_Rocblas_-1162085585,47.7088
GemmTunableOp_BFloat16_TN,tn_7168_9216_7168_ld_7168_7168_7168,Default,35.9142
GemmTunableOp_BFloat16_TN,tn_7168_9216_6144_ld_6144_6144_7168,Gemm_Rocblas_-1162085592,35.9528
GemmTunableOp_BFloat16_TN,tn_7168_9216_4096_ld_4096_4096_7168,Default,24.053
GemmTunableOp_BFloat16_TN,tn_7168_9216_3072_ld_3072_3072_7168,Gemm_Rocblas_-1162085591,14.974
GemmTunableOp_BFloat16_TN,tn_7168_9216_2048_ld_2048_2048_7168,Gemm_Rocblas_-1162085569,10.063
GemmTunableOp_BFloat16_TN,tn_7168_9216_1024_ld_1024_1024_7168,Gemm_Rocblas_-1162085569,4.68034
GemmTunableOp_BFloat16_TN,tn_6144_9216_14336_ld_14336_14336_6144,Gemm_Rocblas_-1162085575,83.9474
GemmTunableOp_BFloat16_TN,tn_6144_9216_13312_ld_13312_13312_6144,Gemm_Rocblas_-1162085575,62.3069
GemmTunableOp_BFloat16_TN,tn_6144_9216_11264_ld_11264_11264_6144,Default,50.9491
GemmTunableOp_BFloat16_TN,tn_6144_9216_8192_ld_8192_8192_6144,Gemm_Rocblas_-1162085591,42.4904
GemmTunableOp_BFloat16_TN,tn_6144_9216_6144_ld_6144_6144_6144,Gemm_Rocblas_-1162085592,31.3677
GemmTunableOp_BFloat16_TN,tn_6144_9216_4096_ld_4096_4096_6144,Gemm_Rocblas_-1162085590,21.1143
GemmTunableOp_BFloat16_TN,tn_6144_9216_3072_ld_3072_3072_6144,Gemm_Rocblas_-1162085592,13.1889
